标题,作者,来源,发表时间,链接,摘要,爬取时间
纵向持股策略下可再生能源电力供应链运营决策研究,戴道明;黄凌玉,华北水利水电大学学报(社会科学版),2025-09-17 14:06,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEk1Sr024xXsKTr5fA3G8OSxUrghGKcpQszDERr5x9v44zVQXwp__RXAF2PIkkeXEu3_DFxhSSPpZSiAXdpwi_jUImOIfG8dmPS66RdRV7_ImEpQOssA1JLiNe9-XI9RLI-2UVZbw3UXg9Qe_QCaHFXE7AhZq-yZ6dXeyVm2rd1Gg==&uniplatform=NZKPT&language=CHS,可再生能源发电是实现“减污降碳”协同增效的有效路径。为应对可再生能源电力消纳挑战并提升电力系统运行效率，通过结合可再生能源电力消纳责任权重制与绿色电力证书交易体系，构建了一个电网公司对可再生能源发电厂纵向持股的Stackelberg博弈模型。该模型旨在探讨消纳责任权重、绿证价格及纵向持股策略对供应链运营决策的影响机制。研究结果表明：①随着绿证价格上升，储能容量水平、绿电上网电量、绿电消纳占比和可再生能源发电厂利润均增加，在绿证价格处于高位时，电网公司通过出售多余绿证获得的收益可以实现自身利润增长；②可再生能源电力消纳责任权重的上升会导致储能容量水平、绿电上网电量、可再生能源发电厂利润和电网公司利润下降，在绿证价格处于较高水平时，可再生能源电力消纳责任权重的上升才能促进绿电消纳；③电网公司通过对可再生能源发电厂实施纵向持股策略，能够提高绿电消纳占比并提升供应链总利润，进而提升电力系统的运行效率。,2025-11-03 14:30:56
陕西省降碳、减污、扩绿和增长协同的时空演化特征,陈秀端;卢新卫,环境科学,2025-09-16 13:53,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEk1Sr024xXsKTr5fA3G8OSxUrghGKcpQt3BuDT9g0A90vBksrO8Eqkr3jG4KI8x_Z9Pk34o0fedFDfQUsHPEX2XhCXMZvyA-SF3jlJT3ii4YmeOEqylJX62CUaUs1FrgD55aJ512fIfv2LXwoNHGLPfltLFgfZrMA8Y5WdgMpOWA==&uniplatform=NZKPT&language=CHS,陕西省降碳、减污、扩绿和增长的协同治理是推进黄河流域生态保护和高质量发展的重要保障。基于陕西省2011～2022年基础变量的选取，分析各子系统的时空演化特征，运用VAR模型刻画4个子系统两两间的相互反馈，采用耦合协调模型和Dagum基尼系数评估陕西省降碳、减污、扩绿和增长的整体协同水平和空间差异。结果表明：①陕西省降碳、减污、扩绿和增长各子系统指数均呈上升态势，各地市水平与演化存在差异；②陕西省降碳、减污、扩绿和增长各子系统两两之间的双向反馈较为显著，但作用方向和作用程度不同；③陕西省降碳、减污、扩绿和增长这4个子系统的整体协同水平已逐步进入优质协调阶段，区域间差异仍是四者协同均衡的主要影响因素，关中、陕北和陕南这三大区域内部与区域之间的空间异质性应受重视。研究结果可为陕西省域的高质量发展提供理论参考。,2025-11-03 14:30:56
新质生产力对减污降碳协同增效的影响,张美丽;李燕钊,环境科学,2025-09-15 15:48,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGGpuePkAIg2B1rZV8Hn2DT12bpEoIXHmr3LXrR2sJLFCYR5iQ6LNdjKl4jZeMFAVG_v9CIcsNj4cVtbdQSyLAblmOI5xchkyssPQ7S63vqbGEpAAFIQf8hVyLAQwbKeRo-Ix8dPWmqAcoExuqst5M4KFQkXLXAPVZYGDxgZUfOZw==&uniplatform=NZKPT&language=CHS,在加快发展新质生产力、实现“双碳”目标与推进美丽中国建设的三重背景下，探究新质生产力对减污降碳协同增效的影响至关重要。基于2013～2022年我国30个省份的平衡面板数据，运用双向固定效应模型、分位数回归模型和门槛回归模型实证检验新质生产力对减污降碳协同增效的直接影响、异质性影响和非线性影响。结果表明：①新质生产力能够显著促进我国减污降碳协同增效，这一结论在经过多重稳健性检验后仍然有效；②相比减污降碳协同程度高的地区，新质生产力对减污降碳协同程度低的地区的促进作用更强；③新质生产力对减污降碳协同增效的影响存在门槛效应，当数字基础设施跨越门槛值、市场化程度处于第一门槛值和第二门槛值之间以及能源结构跨越第二门槛值时，新质生产力对减污降碳协同增效的促进作用最强。通过明确新质生产力对减污降碳协同增效的影响关系，可为我国从新质生产力角度推动地区高质量发展提供政策参考。,2025-11-03 14:30:56
新质生产力对降碳减污协同推进的影响,陆瑶;孙慧;夏学超;聂蕊,环境科学,2025-09-15 15:37,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGGpuePkAIg2B1rZV8Hn2DT12bpEoIXHmr3LXrR2sJLFCYR5iQ6LNdjME9ELTH5vJlJ849IXsvN1bt4cvwm1YdwKV9aWg1DlBOA-Xjh-WTt6vJHjb3PL2S57uZ2eWGn1_5spXZwXLp4SzasflDS6cdwRrVQjUxJ-IkLlx3oRl2MOA==&uniplatform=NZKPT&language=CHS,发展新质生产力是推动高质量发展的内在要求和重要着力点，解析新质生产力系列效应已经成为业界和学术界聚焦的时代课题。基于2012～2022年中国省级平衡面板数据，深入探究新质生产力对碳排放的影响及其内在机制。结果表明：①新质生产力具有显著的碳减排效应，这一效应在东部地区和经济发展水平较高的地区效果更显著；②新质生产力通过产业集聚效应和节能效应推动碳减排；③金融发展水平和强环境规制能够强化新质生产力的碳减排效应；④新质生产力具备减污的环境效应和碳锁定解锁效应。研究结果论证了发展新质生产力能够作为一种长效激励机制有效实现降碳减污协同推进，对推动我国经济社会实现低碳绿色可持续发展具有重要启示。,2025-11-03 14:30:56
新质生产力对减污降碳协同的影响效应与作用机制,李德山;贾子萱,环境科学,2025-09-15 15:27,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHORCbIT1GYEIOtwHi2Xg5vJF65zAfeTfikwzAM4Aj049D8yOz8chz3FOCU9NDQvqbhRWT6sOqD9o799_v_nKP4bRDayXNJebo1yq4nhbKppQCuWqV7KQAdBHjYgbLnzUwcHOe3paiOOLAUOPtmAcc5erzkVP7DGGJLVmDWeCqRbA==&uniplatform=NZKPT&language=CHS,新质生产力的发展为实现减污降碳协同治理注入了新动能。基于2012～2022年中国278个地级市面板数据，测算中国城市新质生产力和减污降碳协同水平并分析其时空演化特征，运用多种计量模型深入探讨新质生产力对减污降碳协同效应的影响及其作用机制。结果表明：①新质生产力能够显著提升减污降碳协同效应，且经过一系列稳健性检验后，结论仍然成立；②新质生产力通过先进制造业集聚和能源结构优化的独立中介路径及“先进制造业集聚→能源结构优化”的链式中介路径提升减污降碳协同效应，这3条中介路径对总中介效应的贡献分别为73.47%、24.49%和2.04%；③新质生产力对减污降碳协同效应的影响存在异质性，在非资源型城市、环保重点城市及高资源配置效率城市更为显著；④新质生产力对减污降碳协同效应具有明显的空间溢出效应，既能提升本地区的协同效应，也能带动周边地区协同效应的提升。研究不仅揭示了新质生产力提升减污降碳协同效应的作用机制，而且为促进新质生产力的发展和推动减污降碳协同治理提供了重要的经验参考。,2025-11-03 14:30:56
资源型城市可持续发展政策对减污降碳的影响,姜祎;张庆红,环境科学,2025-09-15 15:24,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHORCbIT1GYEIOtwHi2Xg5vJF65zAfeTfikwzAM4Aj049D8yOz8chz3Qw9Ll6br7W7qjLtsJFTKpIGWpg_Lm5ttTPWRxBMGaKlEY_lcdAB34xGi2F1L-bMwRUZk0GbiAxZQeK5-Q4ZdH3uSnnvFuKVqQngzWrfUeGXBeFaZUuB8DA==&uniplatform=NZKPT&language=CHS,在全面推进美丽中国建设的背景下，资源型城市的可持续发展对实现中国式现代化目标的重要性与示范性日益凸显。选取2007～2023年中国270个城市的面板数据为研究样本，采用双重差分模型实证分析资源型城市可持续发展政策对减污降碳协同增效的影响，并进一步分析其作用机制及异质性。结果表明，资源型城市可持续发展政策显著提升了城市减污降碳水平；该政策主要通过激发绿色技术创新、优化产业结构和降低能源消费强度发挥作用；该效应在胡焕庸线东南侧、非成长型、高工业化和低消费水平城市更为显著。基于上述发现，建议持续优化和深化资源型城市可持续发展政策体系，尤其应强化旨在降低能源消费强度和激发绿色技术创新的配套措施。同时，应充分考虑不同城市的发展阶段和资源禀赋的差异，因地制宜地实施差异化和精准化的减污降碳协同治理策略，以最大化政策效能。,2025-11-03 14:30:56
中国省域减污降碳协同效应分析及驱动因素,何启志;郭梦娟,环境科学,2025-09-15 15:23,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGGABQdHkEEpanhm8M0171NhPmcMkdn7sgfRr2KU2iBoGFvHBkZhl_35MKCBSzVRfmxp5iRx6HkAaJ2w-Z9cSnbSQ31UWX-5WdvRqvhloHzDU4p5MyOrfDwnzkCRwBLfxoRL7hzityrDoI1x7iZoTfvpSCUOhJov8uvVJwfsRrASQ==&uniplatform=NZKPT&language=CHS,推动污染治理与碳减排协同发展是中国生态文明建设的核心战略。综合运用耦合协调模型、核密度估计、Lasso回归以及XGBoost-SHAP等方法，探究2005～2022年中国30个省域（中国台湾、香港、澳门和西藏资料暂缺）减污降碳协同的时空演变格局与影响因素。结果表明：第一，中国各省域减污降碳协同水平总体呈上升趋势，空间上呈现“东高西低”格局，并存在显著的空间正相关性。第二，能源强度是协同发展的关键约束变量，其抑制作用显著为负；相较于低协调地区，其对高协调地区的抑制作用更为突出。第三，技术创新与产业结构优化对协同效应具有正向推动作用；而经济发展、绿色发展与人口密度的影响则表现出复杂的非线性特征。研究结果揭示了减污降碳协同发展的关键驱动与约束因素，可为制定区域差异化协同管控策略、优化资源配置以实现“双碳”目标提供了重要实证支撑和政策启示。,2025-11-03 14:30:56
“无废城市”从建设到建成：趋势、挑战和对策,郑凯方;温宗国,环境影响评价,2025-09-15,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGGABQdHkEEpanhm8M0171NN2h4qzALhfdndREN4uukqp6_O7p3O9upzDZgWpImDxO9JDSj0hRooqJFqFk34DvHqOSBw55b15p4_pdwefQMQky3LFrn9uhisvcWY62kfqY3VxaAKPULx0hgVGL0c2OECAftg2lb4Qg-aFaf18sfXQ==&uniplatform=NZKPT&language=CHS,自2019年“无废城市”建设试点启动以来，“无废城市”政策体系日益完善，多部门协作格局初步形成，固体废物治理能力显著提升，减污降碳协同效益凸显。当前“无废城市”建设呈现出空间跨域协同、绿色产业联动、智慧技术深度应用的新趋势；然而也面临数据可靠性低、监管能力和监管机制不足、跨域协作框架缺位和技术标准不完善等制度性挑战，无法满足“无废城市”新发展趋势的需求。为推动“无废城市”从建设迈向建成，亟须构建与其适配的固体废物治理制度。最后，本文从数据治理、监管协同、跨域协作、标准支撑4方面提出对策建议。,2025-11-03 14:30:57
协同推进降碳、减污、扩绿、增长的内在逻辑与量化分析,冷成英;彭智敏,江汉论坛,2025-09-15,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEDbn4tzgReXtlZePd4uoTi00O5w4kFaXsuQ5pmShzYkXeNo8QkdINQv--jjS2cC1jGR2U1yefOWUfsVA95EOdO6ss9hSsR8r4Bz6DpdxPuX1YDdCDI9vQlfSoz0ChcRxxnCe5BLTG44DAHXYlAZ1jcSKVGcZ84qa3YZa8i7YYBJA==&uniplatform=NZKPT&language=CHS,协同推进降碳、减污、扩绿、增长是统筹高质量发展和高水平保护的内在要求，提高四者的协同效应可促进经济、社会可持续发展，有助于增强政策的整体效能。基于2007—2022年省级面板数据，定量评估我国降碳、减污、扩绿、增长协同发展水平，研究结果表明，在低收入和中低收入阶段，“重经济、轻生态”导致降碳、减污、扩绿滞后于增长，进入中高收入阶段后，在经济转型发展需求与人民对美好生活向往的耦合作用下，发展方式向“经济与生态并举”转变，推动了降碳、减污、扩绿、增长协同发展；我国省域降碳、减污、扩绿、增长协同发展水平呈上升趋势，但增速有所放缓，并存在显著区域差异，现代化产业比重较高省份协同发展水平较高，而传统产业比重较高、资源依赖程度较深省份则较低；产业结构、能源结构、人口规模是显著促进因素，而能源效率、技术进步、环保投入、金融深化的影响不显著，且存在地区异质性。因此，要构建以法律规范和市场机制为核心的长效机制，以产业结构升级和能源结构转型为重点推进绿色技术创新，完善区域差异化政策体系。,2025-11-03 14:30:57
“双碳”目标融入生态环境法典污染防治编的逻辑与路径,刘超,南京社会科学,2025-09-15,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEDbn4tzgReXtlZePd4uoTi00O5w4kFaXtJmBkdb6Sqeye90Vs7wgBeKnyTmeS8o72QE_V5eeUZTAsuIO3hkDLRUXSZVClMSHhR5TWGHjJJy2K-R-2GtCKAtuENyfrI3BGL7KhOV5jObLesmSsU6C8Yifj3_3U9vK6cZmGmiPuEoA==&uniplatform=NZKPT&language=CHS,“双碳”目标作为我国全面推进美丽中国建设、加快推进人与自然和谐共生的现代化的国家战略，要求生态环境法典提供法治保障。“减污降碳协同增效”是实现“双碳”目标的重点路径之一，要求“双碳”目标体系化融入生态环境法典污染防治编。现行污染防治法律规范是编纂生态环境法典污染防治编的基础，但其在保障“双碳”目标中存在治理理念的偏颇、监管体制上的扞格和核心制度上的分殊等现状及不足，与推进“双碳”战略不相适应。《生态环境法典(草案)》已经在多处规定中贯彻了“双碳”目标，但仍需强化体系性规范创新：在治理理念层面，将“协同治理”上升为法典基本原则，建立污染物排放标准与温室气体排放标准的衔接制度，拓展污染防治规划的时空维度；在监管体制层面，推动生态环境部门统一监管权责配置，探索排污权与碳排放权交易平台的制度整合；在核心制度设计上，构建减污降碳协同管理的法律框架，实现污染物排放总量控制与碳排放配额管理的制度协同。,2025-11-03 14:30:57
污水处理协同降碳的思考与绿色低碳发展展望,陶相婉;龚道孝;莫罹;姚越,给水排水,2025-09-10,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaH6reoDosazU-2VyCpX8spmaHTeMrWnqfjIl59vZyMCh1VjrsrL9gKVfB900eCchnH-myLJ0MVnmarwQAQCaN6D1_e7mHqdaaji0hKL7pl3guAPkRo0rhTeuCF7meNXojCRznkDdGMqlXe-lNQocTs271F9ytdIZ7jbPHramog26g==&uniplatform=NZKPT&language=CHS,污水处理既是深入打好污染防治攻坚战的重要抓手，也是推动温室气体减排的重要领域。在国家“双碳”目标背景下，以高能耗物耗和高碳排为代价换取高标准出水水质的模式已不可持续，亟需推动污水处理减污降碳协同增效。研究分析了典型污水处理厂低碳运行特征，探讨了包含污染控制、节能降耗、能源优化、资源循环、管理协同等方面的污水处理协同降碳绩效评价方法，并提出污水处理绿色低碳发展的未来展望。,2025-11-03 14:30:57
烧结机头除尘器能效与减污降碳对比分析,周鹏飞;陈志炜;汪卫章;陈强,工业安全与环保,2025-09-10,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaH6reoDosazU-2VyCpX8spmaHTeMrWnqfgQbEn9D4FVz1Xm0YeyPSV-LdGHZsshfM-KEkrh_aRTVhXPYsV-RW5rmOKzH3pVd709QMOvyx1ZAe_fkhr-JIpFCLnZmXY_B_dhgP0Dr3kbZej_2ZahX0WGpjXMv1s9sq0RwaVwr34J7A==&uniplatform=NZKPT&language=CHS,"介绍了烧结机头烟气袋式除尘器的结构特点和示范工程运行情况，重点对比分析了360 m2烧结机头电除尘器和袋式除尘器的能效水平、减污降碳能力和碳配额履约情况。分析表明：袋式除尘器可达1级能效水平，明显优于原电除尘器的3级能效水平；其对颗粒物和CO2的减排率分别可达93.3%和58%,1 t矿的CO2减排量为1.057 kg。通过该项新技术应用可实现有效碳减排，经测算，每年可为企业直接减少碳配额需求约1.586万t，减污降碳效果与碳资产综合效益显著。",2025-11-03 14:30:57
中重型纯电动卡车的减污降碳潜力研究,江志娟;陈美玲;魏昕恬;贺静文,交通运输系统工程与信息,2025-09-09 09:45,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaH6reoDosazU-2VyCpX8spmaHTeMrWnqfh4yl2-UgXMuvtryQJxKmLdMF1mR_od0RxxtZ8Nzn1aodMDwhfSD7n6VjZBDFVSuliS8xb43BwZPvZb1L3ZQLGl8VVqpom8aolkvJEqueNIJPGNYXd93_BG6_QwdDWtOhr3Riihupx3cQ==&uniplatform=NZKPT&language=CHS,"货运卡车的电气化被认为是减少公路货运排放的重要措施。然而，纯电动卡车的减排潜力因发电方式、重量等级和技术标准的不同而差异显著。对电力结构和车辆参数进行精细分析对于完善减排政策至关重要。本文评估中国纯电动卡车（BET）和传统柴油卡车（diesel-ICET）在其燃料周期内的大气污染物排放量，探讨使用BET降低污染和碳排放的潜力。采用生命周期法，利用中国原油结构、电力结构和卡车技术数据，分析能源生产路径和车辆行驶过程的排放因子，运用GREET（Greenhouse gases, Regulated Emissions, and Energy use in Technologies）模型评估不同重量等级BET和diesel-ICET（国六标准）的车辆排放强度(g·km-1)和货运排放强度(g·t-1·km-1)。研究发现，尽管中国电力生产效率仅为46.9%，但BET替代diesel-ICET能够显著降低GHG、VOCs、CO、NOx、PM2.5和PM10这6类污染物的车辆排放强度，也能减少GHG、CO、NOx和VOCs这4类污染物的货运排放强度。但受电力生产结构和技术影响，BET替代dieselICET将显著增加SOx的排放，还可能增加公路货运的PM2.5和PM10排放。",2025-11-03 14:30:57
武汉市畜牧业减污降碳绿色发展路径探析,濮振宇;杨喆;李细龙;邓兵;黄微,现代农业科技,2025-09-08,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHl9ODDJxGC9ocIGRhEwgjLKqS_qD03SS-DGC0-o1LizmYQKy0HGFpIW7Qo0-3S43-vrJi0gvKvkx7QVQjO88cKbSydHtoli2giSQSWBKFQuH-3PVS7pPirm6e6evdY5lLVSo6DpKq_3szKby_peqqorELvOrWcq2OBEozFDIKpeQ==&uniplatform=NZKPT&language=CHS,武汉是长江经济带重要节点城市，畜牧业发展具有规模化程度高、呈现区域聚集性分布等典型特点。基于武汉市畜牧业发展概况及特点，阐述了武汉市畜牧业减污降碳绿色发展现状，总结了存在的问题，提出了发展路径，包括强化减污降碳绿色发展理念、完善畜牧业低碳发展规划和加强粪污资源化利用，以期推进武汉市畜牧业减污降碳绿色发展。,2025-11-03 14:30:57
氢烧水泥研究进展与减污降碳潜力分析,崔敬轩;何捷;聂卿;倪亚玲;吴曦,水泥,2025-09-04,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHl9ODDJxGC9ocIGRhEwgjLKqS_qD03SS_3RyAGDkA7MX-wwYDKa3WJeEb1yAX2Qx3ZbtxVYa85sfoTzB1YvpF87ceuKdzKCJNlT1HY0VsOjMwsxz5bvvRHs6au2EjZrxg5-gpTJXhF1JcmAkFrQBUIKePoD_4YqnT_dVnzQvAVJw==&uniplatform=NZKPT&language=CHS,气候变化是现代世界面临的最严重问题之一，氢烧水泥技术是水泥行业突破燃料排放瓶颈的核心创新，未来规模化应用有可能重塑行业能源结构与生产模式。本文通过梳理国内外氢能煅烧水泥熟料的案例，分析了氢能煅烧技术的减污降碳能力和技术经济性。在解析技术机遇与挑战的前提下，分析了氢能在水泥窑利用的潜力，认为氢能+电能情景是未来氢烧水泥技术发展最经济的路径。,2025-11-03 14:30:57
信诺技术：减污降碳、绿色转型的行业典范,廖艳霞;刘晴;黄琳煜,湘潭日报,2025-09-02,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGwye7zNF-7p3jXSNRZ1MqoUD6hzhsFqCOMgMNKoY9-eHhk3BsqRlrIFFgsXMx7NkiMjNQfPChVfKygeQl0o-2nXF4TW_kxs6jRTSaGfwA2hDMkywkYQJEfx4FnoK1_7Wf0m3b_lVZVrr-BSimYbQcOG6PGC45EygJscWQhOe0sevGCSPVftISE&uniplatform=NZKPT&language=CHS,正文快照：今年以来，位于湘潭县易俗河的湖南信诺技术股份有限公司（以下简称“信诺技术”）在绿色低碳领域接连斩获多项荣誉：其无机非金属功能搪瓷材料生产线减污降碳方案获评中国轻工业联合会2024年度轻工业绿色低碳转型典型案例，搪瓷瓷釉中去硝酸盐技术及产业化斩获中国轻工业联合......,2025-11-03 14:30:57
微生物电化学技术耦合人工湿地工艺减污降碳及影响因素研究,李川;徐元;顾勇;金新港;许明,现代化工,2025-09-01 13:22,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGwye7zNF-7p3jXSNRZ1Mqowy59n1anLy9M8qXcyHWNFTkssN6AXdFrhDWhGheiV8VhwvDVcmLtD3za46wItoKSy_0tGzC57p8ClAJjftRkIleEIeJDcD_NuN21yt_juC48UiAhR841diDFK-EWnVFdfphMvzOt2I90yuAc6iUaSQ==&uniplatform=NZKPT&language=CHS,微生物电化学技术（MET）耦合人工湿地（CW）正成为CW处理污染物的双赢方案，这些携带电活性的CW在近10年来被广泛研究。人工湿地-微生物电化学技术（CW-MET）耦合系统与传统人工湿地相比，CW-MET提升了氮、磷及抗生素等污染物的去除效率，并在低温、低碳氮比等条件下同样实现。CW-MET的CH4、N2O和CO2的排放分别减少了17.9%～36.9%、7.2%～38.7%和5.9%～32.4%。综述了CW-MET的运行原理、减污降碳效果、影响因素和潜在应用等，有助于更深入地了解CW-MET的性能，以期为CW-MET未来的发展和工程化应用提供有利信息。,2025-11-03 14:30:57
环境保护税的减污降碳协同治理效应研究,王珮;崔铭芯;宋欣畅;刘咏璇,税务研究,2025-09-01,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHFdVsff8aSC81e9u5Jfe8eXEoVqQWNZU_TN76d8Zj8tVT99IINUzD-riOnzqX78E4wBKCh3FWQBLY5uzaLkvVOBwcGSyro1XI_prBuSAnvxBnmW62w4XLxuA-msyDpcT8HVXK61m2Xo1wA_OZVE7yNN0LoNuWvEehobBg-7yVP7Q==&uniplatform=NZKPT&language=CHS,基于生态文明建设背景，环境保护税已逐渐成为我国绿色税制体系中的一项关键政策工具。本文基于2015—2022年我国地级市面板数据，将2018年环境保护税的征收作为准自然实验，通过构建双重差分模型，探究环境保护税的减污降碳协同治理效果及其传导路径。研究发现，环境保护税的征收显著实现了减污降碳的协同治理效应。机制检验表明，环境保护税能够通过激励绿色技术创新实现减污降碳协同治理效应。进一步研究发现，环境保护税征收标准提升幅度高的城市减污降碳效果显著。同时，环境保护税的征收对于产业结构高级化程度较低城市、地方政府环境治理力度较大地区以及中西部地区的减污降碳效果更为明显。本文厘清了环境保护税对减污降碳协同治理效应的作用机制，以期为环境保护税政策实施提供经验证据，为进一步完善我国绿色税制体系提供有益参考。,2025-11-03 14:30:57
